country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Algeria,1991,Arab States,-0.4067458201359283,0.3506218517038581,-0.3627273181357958,-0.317430073008327,-0.4549695915607044,-0.8828443520877045,-1.3200173608004715,-0.4707894599628833,-0.3822830159464691,-0.0682987900228886,-0.3791652599921701,-0.5051087876783131,-0.4434197748117457,-0.4380986911116624,-0.3082249418038657,-0.5003830688187187,-0.1425578133690988,-0.3207971568983234
Argentina,1991,South/Latin America,-0.3721392578511579,-0.1230505529462413,-0.4218506761674664,-0.452077490834754,-0.4050603915371787,0.2637576004412052,-0.8262017366514491,-0.3791474505084118,-0.3951809172334944,-0.2985150343549558,-0.3273133252085271,-0.4405479811751221,-0.4010856707354824,-0.3995636461135877,-0.3085361201994129,-0.5003830688187187,-0.3931410045051134,-0.320095423892538
Australia,1991,Asia & Pacific,-0.237218728839609,1.512386690278008,0.7021014914965016,-0.1566972815714308,-0.3164296314429228,-0.5226546301145978,0.2997277800014424,-0.2987921323604025,-0.3225484961609371,-0.2836145021611,-0.3686158462489312,0.1953748580972402,-0.2777177477524483,-0.270341766854395,-0.0785985122969988,-0.5003830688187187,-0.3896967918362881,0.2124397988162992
Belgium,1991,Europe,-0.3622300170538524,-0.0322819352468345,-0.0377779882492097,-0.5409901124967172,-0.3952530776040708,-0.8747244592219002,-0.42021508552829,-0.3870902256750451,-0.3298369991347689,-0.4461409685738398,-0.4223678021458762,0.0031029035293343,-0.3794303187904448,-0.3729499071471891,-0.2729937120325517,-0.4981428327598242,-0.6196983043542255,-0.3207971568983234
Brazil,1991,South/Latin America,-0.2897727688839672,-1.5171344755907965,-0.8583741170720527,-0.3109129307772441,-0.1856698123030257,2.7686260940543233,-0.2093176464929921,-0.0856700925114479,-0.1330177001747529,-0.4168889848102795,-0.475668906151673,-0.6222899563831775,-0.1847801956549955,-0.1531285592041174,-0.2688804726372156,-0.5003830688187187,-0.3494530059437519,-0.3081999567806247
Canada,1991,North America,-0.1052319181325541,-1.4825411215668751,0.1072163612906318,0.1440183241090417,-0.034859540445968,1.4654488241564505,0.7629108384166389,0.0330350331143193,0.042589900528087,0.4315882944044573,0.0671454970757769,1.2319084165352996,0.1437827318886943,0.1516448919066252,-0.1888702471143686,-0.4991155697536367,0.1493642895323066,-0.1480737117995607
Chile,1991,South/Latin America,-0.4295763629291527,-0.324444920921613,-0.462994056153439,-0.5525238768589674,-0.4755133842370354,1.840409524378852,-0.7424946817466522,-0.4856772917276227,-0.5231346361074287,-0.4349711848451955,-0.4999119625767262,-0.4292450619426893,-0.4417110247080702,-0.4337113010296966,-0.3039419117551063,-0.5003830688187187,-0.6112967661693482,-0.315435819608447
China,1991,Asia & Pacific,1.500734314997178,0.9936528430478248,3.957664882350839,1.6388700712450974,1.3973410392739545,-0.2199973876078625,-1.5606712622573202,0.6528598991354231,0.5656087133169316,-0.3236014830368587,-0.3742485617948713,3.558240875434686,0.34635589547681,0.3361145780722644,2.1801733075363874,-0.4981534944823793,0.5589580854589178,2.206150681360758
Colombia,1991,South/Latin America,-0.4144936835214943,-0.5147634771562408,-0.6760189379437717,-0.4577207185116808,-0.4526806712995987,2.0252188180830366,-0.73852604907436,-0.4702438326207201,-0.482524078253235,-0.4119297248872058,-0.471638324874837,-0.6605890673814457,-0.4213054808683157,-0.419514394728376,-0.2986438305676364,-0.5003830688187187,-0.4348059461105145,-0.2724917021678881
Czechia,1991,Europe,-0.341791580227107,1.366722416133626,1.3630149929923112,-0.4760115383351424,-0.4060617065238238,-0.8593620782087177,-0.6880426173105164,-0.4788881286558489,-0.5204599561170318,-0.4441572623355578,-0.4556097514991558,0.8443775669918107,-0.3931003196198488,-0.3894333344153089,-0.123126127799663,-0.5003830688187187,-0.6178508019275012,-0.0855976210076586
